,true,predict,value
0,Silverazide,Silverazide,True
1,Silverazide,Silverazide,True
2,Silverazide,Blank,False
3,Silverazide,Silverazide,True
4,Silverazide,Silverazide,True
5,Silverazide,Silverazide,True
6,Silverazide,Silverazide,True
7,Silverazide,Silverazide,True
8,Silverazide,Silverazide,True
9,Silverazide,Silverazide,True
10,Silverazide,Silverazide,True
11,Silverazide,Silverazide,True
12,Silverazide,Silverazide,True
13,Silverazide,Silverazide,True
14,Silverazide,Silverazide,True
15,Silverazide,Silverazide,True
16,Silverazide,Silverazide,True
17,Silverazide,Silverazide,True
18,Silverazide,Silverazide,True
19,Blank,Blank,True
20,Blank,Blank,True
21,Blank,Blank,True
22,Blank,Blank,True
23,Blank,Blank,True
24,Blank,Blank,True
25,Blank,Blank,True
26,Blank,Blank,True
27,Blank,Blank,True
28,Blank,Blank,True
29,Blank,Blank,True
30,Blank,Blank,True
31,Blank,Blank,True
32,Blank,Blank,True
33,Blank,Blank,True
34,Blank,Blank,True
35,Blank,Blank,True
36,Blank,Blank,True
37,Blank,Blank,True
38,Blank,Blank,True
39,Silverazide,Silverazide,True
40,Sugar,Sugar,True
41,Sugar,Sugar,True
42,Sugar,Sugar,True
43,Sugar,Sugar,True
44,Sugar,Sugar,True
45,Sugar,Sugar,True
46,Sugar,Sugar,True
47,Sugar,Sugar,True
48,Sugar,Sugar,True
49,Sugar,Sugar,True
50,Sugar,Tetrazene,False
51,Sugar,Sugar,True
52,Sugar,Sugar,True
53,Sugar,Sugar,True
54,Sugar,Sugar,True
55,Sugar,Sugar,True
56,Sugar,Sugar,True
57,Sugar,Sugar,True
58,Sugar,Sugar,True
59,Sugar,Sugar,True
60,Leadazide,Leadazide,True
61,Leadazide,Leadazide,True
62,Leadazide,Leadazide,True
63,Leadazide,Leadazide,True
64,Leadazide,Leadazide,True
65,Leadazide,Leadazide,True
66,Leadazide,Leadazide,True
67,Leadazide,Leadazide,True
68,Leadazide,Leadazide,True
69,Leadazide,Leadazide,True
70,Leadazide,Leadazide,True
71,Leadazide,Leadazide,True
72,Leadazide,Leadazide,True
73,Leadazide,Leadazide,True
74,Leadazide,Leadazide,True
75,Leadazide,Leadazide,True
76,Leadazide,Leadazide,True
77,Leadazide,Leadazide,True
78,Leadazide,Leadazide,True
79,Leadazide,Leadazide,True
80,Leadstyphnate,Blank,False
81,Leadstyphnate,Leadstyphnate,True
82,Leadstyphnate,Silverazide,False
83,Leadstyphnate,Leadstyphnate,True
84,Leadstyphnate,Leadstyphnate,True
85,Leadstyphnate,Leadstyphnate,True
86,Leadstyphnate,Leadstyphnate,True
87,Leadstyphnate,Leadstyphnate,True
88,Leadstyphnate,Silverazide,False
89,Leadstyphnate,Leadstyphnate,True
90,Leadstyphnate,Leadstyphnate,True
91,Leadstyphnate,Tetrazene,False
92,Leadstyphnate,Leadstyphnate,True
93,Leadstyphnate,Leadstyphnate,True
94,Leadstyphnate,Leadstyphnate,True
95,Leadstyphnate,Leadstyphnate,True
96,Leadstyphnate,Leadstyphnate,True
97,Leadstyphnate,Leadstyphnate,True
98,Leadstyphnate,Leadstyphnate,True
99,Leadstyphnate,Leadstyphnate,True
100,Tetrazene,Tetrazene,True
101,Tetrazene,Tetrazene,True
102,Tetrazene,Tetrazene,True
103,Tetrazene,Tetrazene,True
104,Tetrazene,Tetrazene,True
105,Tetrazene,Tetrazene,True
106,Tetrazene,Tetrazene,True
107,Tetrazene,Tetrazene,True
108,Tetrazene,Tetrazene,True
109,Tetrazene,Tetrazene,True
110,Tetrazene,Tetrazene,True
111,Tetrazene,Leadstyphnate,False
112,Tetrazene,Tetrazene,True
113,Tetrazene,Tetrazene,True
114,Tetrazene,Tetrazene,True
115,Tetrazene,Tetrazene,True
116,Tetrazene,Tetrazene,True
117,Tetrazene,Blank,False
118,Tetrazene,Tetrazene,True
119,Tetrazene,Tetrazene,True
